o:id,url,dcterms:identifier,o:resource_class,o:item_set,o:media/file,dcterms:title,dcterms:creator,dcterms:publisher,dcterms:description,dcterms:date,bibo:volume,bibo:issue,dcterms:isPartOf,dcterms:extent,dcterms:medium,dcterms:subject,dcterms:spatial,dcterms:rights,dcterms:rightsHolder,dcterms:language,dcterms:source,dcterms:contributor,bibo:content
15850,https://iwac.frederickmadore.com/s/afrique_ouest/item/15850,iwac-video-0000001,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/15928|https://iwac.frederickmadore.com/api/media/15935|https://iwac.frederickmadore.com/api/media/15936|https://iwac.frederickmadore.com/api/media/15937|https://iwac.frederickmadore.com/api/media/15938|https://iwac.frederickmadore.com/api/media/15939|https://iwac.frederickmadore.com/api/media/15940,Demokuradiyyah,Muhammad Auwal Albani Zaria,,"Sheikh M.A.A. Albani Zaria teaches how Muslims run government, politically, socially and morally according to Islamic religious leadership with reasoning with regard to Islamic scholars and tells the difference between polity and democracy in Islam.|Sheikh M.A.A. Albani Zaria ya karantar da mu yadda musulunchi ya karantar da yadda ake gudanar da tsarin mulki, da shugabanchi da siyasa a musulumchi, da kuma bayani akan bambanchin dake tsakanin siyasa da demokuradiyya bisa hujjoji daga littafan malamai yayin gabatar da laccar mai lacca demokuaradiyya.",2009-06-13,,,,PT571M,,Djihad|Jeunesse musulmane|Pluralisme religieux,Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Arabe|Haoussa,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15851,https://iwac.frederickmadore.com/s/afrique_ouest/item/15851,iwac-video-0000002,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/15989|https://iwac.frederickmadore.com/api/media/15991,Ina Gaskiyar Take?,Muhammad Auwal Albani Zaria,,"Comparisons between Islam and Christianity, the Qur'an and the Bible|Magana bambanchi tsakanin Islam da Kirintanchi da ba da Hujjoji tsakanin Qur'an da Bible",2014-01-31,,,,PT126M,DVD,Théologie islamique,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa|Anglais,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15852,https://iwac.frederickmadore.com/s/afrique_ouest/item/15852,iwac-video-0000003,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/16062,Sawtul-Hikmah,Muhammad Auwal Albani Zaria,,,,,,Jana 'Izar Shaykh albaniy Zaria,PT98M,DVD,,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15853,https://iwac.frederickmadore.com/s/afrique_ouest/item/15853,iwac-video-0000004,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/16055,Muslim #139-140,Muhammad Auwal Albani Zaria,,,,,139|140,,PT110M,DVD,,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa|Anglais,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15854,https://iwac.frederickmadore.com/s/afrique_ouest/item/15854,iwac-video-0000005,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/16044,Khudubobin Juma'a vol. 1,Muhammad Auwal Albani Zaria,,,,1,1-20,Khudubobin Juma'a,PT446M,DVD,Théologie islamique,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa|Anglais,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15855,https://iwac.frederickmadore.com/s/afrique_ouest/item/15855,iwac-video-0000006,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/16045,Khudubobin Juma'a vol. 2,Muhammad Auwal Albani Zaria,,,,2,21-40,Khudubobin Juma'a,PT469M,DVD,Théologie islamique,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa|Anglais,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15856,https://iwac.frederickmadore.com/s/afrique_ouest/item/15856,iwac-video-0000007,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/15951|https://iwac.frederickmadore.com/api/media/15953,Haila Larurar Mata,Muhammad Auwal Albani Zaria,,"Sheikh M.A.A. Albani talks about women's menstruation, childbirth, unhealthy conditions and teaches how to solve such problems.|Sheikh M.A.A. Albani ya karantar da mu matsalolin, jinin haila, jinin haihuwa da jinin rashin lafiya na mata bisa dogaro da ayoyi da hadisan Manzon Allah Muhammad. Wajen warware dukamin wata matsala idan ta taso ga mata.",2001-11-20,,,,PT184M,DVD,,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15857,https://iwac.frederickmadore.com/s/afrique_ouest/item/15857,iwac-video-0000008,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/15897|https://iwac.frederickmadore.com/api/media/15902|https://iwac.frederickmadore.com/api/media/15903|https://iwac.frederickmadore.com/api/media/15904|https://iwac.frederickmadore.com/api/media/15905,Adabul Mufrad #1-4,Muhammad Auwal Albani Zaria,,Sheikh M.A.A. Albani teach us how to run our life with everyone without and tribalism or religious differences and how to obey parents from the Adabul Mufrad.|Malam shaikh M.A.A Albani yana karantar da yadda za mu yi mu ba tare da banbachi komai ba da bin iyaye daga littafai Ablabul-Mufrad,2001-08,,1|2|3|4,,PT245M,DVD,Théologie islamique,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15858,https://iwac.frederickmadore.com/s/afrique_ouest/item/15858,iwac-video-0000009,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/16031,Kaddamar da Sashin Al-Qur'ani,Muhammad Auwal Albani Zaria,,,,,,,PT175M,DVD,Théologie islamique,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa|Arabe,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
15859,https://iwac.frederickmadore.com/s/afrique_ouest/item/15859,iwac-video-0000010,bibo:AudioVisualDocument,Collection de sermons islamiques sur vidéo,https://iwac.frederickmadore.com/api/media/15966|https://iwac.frederickmadore.com/api/media/15969,Hirar Tarho a D.I.V. da Shaykh Albaniy Zaria,Muhammad Auwal Albani Zaria,,"Sheikh M.A.A. Albani Zaria answers various questions about the Islamic religion with references to the Qur'an and Hadith.|Shaikh M.A.A Albani Zaria ya amsa tambayoyi game da matsalolin da suka shige musu duhu game da addini musulumchi, ta ba da hijja daga Ƙurani da hadisai.",,,1|2,,PT240M,DVD,,Zaria|Nigéria,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Haoussa,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier,
