o:id,url,dcterms:identifier,o:resource_class,o:item_set,o:media/file,dcterms:title,dcterms:creator,dcterms:date,dcterms:description,dcterms:subject,dcterms:rights,dcterms:source,dcterms:spatial,coordinates
12237,https://iwac.frederickmadore.com/s/afrique_ouest/item/12237,iwac-image-0000001,bibo:Image,Photographies (Burkina Faso),12241|12242,Radio Ridwane,Frédérick Madore,2015-04-16,,Radio Ridwane,In Copyright - Educational Use Permitted,,Ouagadougou,"12.3367681, -1.5436187"
12238,https://iwac.frederickmadore.com/s/afrique_ouest/item/12238,iwac-image-0000002,bibo:Image,Photographies (Burkina Faso),12243|12244|12245|12246,Mosquée en construction dans le quartier de Ouaga 2000,Frédérick Madore,2011-11-17,,Construction of a mosque,In Copyright - Educational Use Permitted,,Ouaga 2000|Ouagadougou,"12.31516, -1.511406"
12239,https://iwac.frederickmadore.com/s/afrique_ouest/item/12239,iwac-image-0000003,bibo:Image,Photographies (Burkina Faso),12247|12248|12249|12250,Grande Mosquée de Ouagadougou,Frédérick Madore,2011-10-29,,,In Copyright - Educational Use Permitted,,Grande Mosquée de Ouagadougou|Ouagadougou,"12.3663107, -1.5228766"
12240,https://iwac.frederickmadore.com/s/afrique_ouest/item/12240,iwac-image-0000004,bibo:Image,Photographies (Burkina Faso),12251|12252,Radio Iqra,Frédérick Madore,2015-04-22,,Radio IQRA,In Copyright - Educational Use Permitted,,Ouagadougou,"12.3673611, -1.5242347"
12253,https://iwac.frederickmadore.com/s/afrique_ouest/item/12253,iwac-image-0000005,bibo:Image,Photographies (Bénin),12256|12257|12258,Mosquée centrale de Porto-Novo,Frédérick Madore,2019-04-08,,Mosquée centrale de Porto-Novo,In Copyright - Educational Use Permitted,,Porto-Novo,
12254,https://iwac.frederickmadore.com/s/afrique_ouest/item/12254,iwac-image-0000006,bibo:Image,Photographies (Bénin),12259,Mosquée de Ganvié,Frédérick Madore,2019-05-26,,Mosquée de Ganvié,In Copyright - Educational Use Permitted,,Ganvié,
12255,https://iwac.frederickmadore.com/s/afrique_ouest/item/12255,iwac-image-0000007,bibo:Image,Photographies (Bénin),12260|12261,Mosquée centrale de Fidjrossè,Frédérick Madore,2019-03-21,,Agence des Musulmans d'Afrique/Direct-Aid,In Copyright - Educational Use Permitted,,Cotonou,
12262,https://iwac.frederickmadore.com/s/afrique_ouest/item/12262,iwac-image-0000008,bibo:Image,Photographies (Bénin),12268|12269,Mosquée Oumar Ibn Khattab,Frédérick Madore,2019-03-25,,Association Culturelle des Étudiants et Élèves Musulmans du Bénin,In Copyright - Educational Use Permitted,,Abomey-Calavi,
12263,https://iwac.frederickmadore.com/s/afrique_ouest/item/12263,iwac-image-0000009,bibo:Image,Photographies (Bénin),12270|12271|12272,Ancienne mosquée centrale de Porto-Novo,Frédérick Madore,2019-04-29,,Mosquée centrale de Porto-Novo,In Copyright - Educational Use Permitted,,Porto-Novo,
12264,https://iwac.frederickmadore.com/s/afrique_ouest/item/12264,iwac-image-0000010,bibo:Image,Photographies (Bénin),12273,Mosquée centrale as-salam Godomey Togoudo,Frédérick Madore,2019-04-22,,Mosquée centrale de Godomey,In Copyright - Educational Use Permitted,,Godomey,
12265,https://iwac.frederickmadore.com/s/afrique_ouest/item/12265,iwac-image-0000011,bibo:Image,Photographies (Bénin),12274,Mosquée Porto-Novo,Frédérick Madore,2019-04-29,,,In Copyright - Educational Use Permitted,,Porto-Novo,
12266,https://iwac.frederickmadore.com/s/afrique_ouest/item/12266,iwac-image-0000012,bibo:Image,Photographies (Côte d’Ivoire),12275,Mosquée An-nour,Frédérick Madore,2015-02-10,,Association des Élèves et Étudiants Musulmans de Côte d'Ivoire,In Copyright - Educational Use Permitted,,Abidjan|Côte d'Ivoire,"5.35138, -3.980761"
12267,https://iwac.frederickmadore.com/s/afrique_ouest/item/12267,iwac-image-0000013,bibo:Image,Photographies (Côte d’Ivoire),12276|12277,Grande Mosquée de la Riviera Golf,Frédérick Madore,2015-03-28,,,In Copyright - Educational Use Permitted,,Abidjan|Côte d'Ivoire,"5.338507, -3.978591"
