o:id,url,dcterms:identifier,o:resource_class,o:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:replaces,dcterms:isReplacedBy,dcterms:spatial,dcterms:language,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:contributor
1,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/1,iwac-collection-0000001,o:ItemSet,Sujets,Décrit une ressource dont l'étiquette représente un sujet,,,,,,,,,,
2,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2,iwac-collection-0000002,o:ItemSet,Évènements,Principaux évènements de la base de données,,,,,,,,,,
266,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/266,iwac-collection-0000003,o:ItemSet,Individus,Principaux individus de la base de données,,,,,,,,,,
267,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/267,iwac-collection-0000004,o:ItemSet,Notices d'autorité,,,,,,,,,,,
268,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/268,iwac-collection-0000005,o:ItemSet,Emplacements,Principaux emplacements de la base de données,,,,,,,,,,
854,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/854,iwac-collection-0000006,o:ItemSet,Associations,Principales associations ou groupes de la base de données,,,,,,,,,,
2183,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2183,iwac-collection-0000007,o:ItemSet,Enregistrements audio,Enregistrements audio divers,,,,,,,In Copyright - Educational Use Permitted,,,Frédérick Madore
2184,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2184,iwac-collection-0000008,o:ItemSet,Collection de sermons islamiques sur vidéo,Abdoulaye Sounaye a assemblé une collection de vidéos de sermons islamiques en haoussa du Nigéria dans le cadre de ses recherches au cours des vingt dernières années,,1999/2014,,,Nigéria,Anglais|Arabe|Haoussa,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Abdoulaye Sounaye,Aleksei Akseshin|Vincent Favier|Frédérick Madore
2185,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2185,iwac-collection-0000009,o:ItemSet,Banouto,Métadonnées d'articles provenant du journal Banouto (2017-2023),,2017/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
2186,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2186,iwac-collection-0000010,o:ItemSet,Boulevard des Infos,Métadonées d'articles provenant du journal Boulevard des Infos (2018-2023),,2018/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
2187,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2187,iwac-collection-0000011,o:ItemSet,Ehuzu,Articles provenant du journal Ehuzu (1975-1990),Office national d'édition de presse et d'imprimerie,1975/1990,Daho-Express,La Nation,Bénin,Français|Dendi,In Copyright - Educational Use Permitted,La Nation,,Frédérick Madore|Vincent Favier
2188,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2188,iwac-collection-0000012,o:ItemSet,Daho-Express,Articles provenant du journal Daho-Express (1969-1975),,1969/1975,,Ehuzu,Bénin,Français,In Copyright - Educational Use Permitted,La Nation,Bibliothèque du Congrès,Frédérick Madore|Vincent Favier
2189,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2189,iwac-collection-0000013,o:ItemSet,La Nation,Articles provenant du journal La Nation (1990-2022),,1990/2022,Ehuzu,,Bénin,Français,In Copyright - Educational Use Permitted,La Nation,,Frédérick Madore|Vincent Favier
2190,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2190,iwac-collection-0000014,o:ItemSet,L'Evénement Précis,Métadonées d'articles provenant du journal L'Evénement Précis (2011-2023),,2011/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
2191,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2191,iwac-collection-0000015,o:ItemSet,Fraternité,Métadonées d'articles provenant du journal Fraternité (2003-2023),,2003/2023,,,Bénin,Français,In Copyright,Fraternité,,Frédérick Madore
2192,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2192,iwac-collection-0000016,o:ItemSet,Photographies (Bénin),Photographies sur l'islam et les musulmans au Bénin,Frédérick Madore,,,,Bénin,,In Copyright - Educational Use Permitted,,,
2193,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2193,iwac-collection-0000017,o:ItemSet,Références (Bénin),"Livres, chapitres de livre, comptes rendus de livres, articles de revue, thèses, mémoires et rapports sur l'islam au Bénin",,,,,Bénin,Allemand|Anglais|Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
2194,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2194,iwac-collection-0000018,o:ItemSet,YouTube (Bénin),Vidéos YouTube en lien avec l'islam et les musulmans au Bénin,,,,,Bénin,Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
2195,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2195,iwac-collection-0000019,o:ItemSet,ASSALAM,Journal de l'Association Culturelle des Étudiants et Élèves Musulmans du Bénin (2002-2019),Association Culturelle des Étudiants et Élèves Musulmans du Bénin,2002-02/2019-05,,,Bénin,Français,In Copyright - Educational Use Permitted,Association Culturelle des Étudiants et Élèves Musulmans du Bénin,Association Culturelle des Étudiants et Élèves Musulmans du Bénin,Frédérick Madore
2196,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2196,iwac-collection-0000020,o:ItemSet,An-Nasr Trimestriel,"""Bulletin trimestriel d'information et de formation de l'AEEMB"" publié depuis la fin des années 1990",Association des Élèves et Étudiants Musulmans au Burkina|COPRESS-AEEMB,2000/2017,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,"Cercle d'Études, de Recherches et de Formation Islamiques",Association des Élèves et Étudiants Musulmans au Burkina,Frédérick Madore
2197,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2197,iwac-collection-0000021,o:ItemSet,Al Mawadda,"""Bimestriel d'information et de formation islamique"" publié par l'Association Islamique d'al Mawadda du Burkina (A.I.M.B.), une organisation chiite francophone",Association Islamique d'Al Mawadda Burkina Faso,2001/2010,,,Burkina Faso,Français,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Louis Audet Gosselin,Frédérick Madore
2198,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2198,iwac-collection-0000022,o:ItemSet,An-Nasr Vendredi,Bulletin hebdomadaire publié par l'AEEMB depuis 2004,Association des Élèves et Étudiants Musulmans au Burkina|COPRESS-AEEMB,2004/2020,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,Association des Élèves et Étudiants Musulmans au Burkina,Association des Élèves et Étudiants Musulmans au Burkina,Frédérick Madore
2199,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2199,iwac-collection-0000023,o:ItemSet,Burkina 24,Métadonées d'articles provenant du journal en ligne Burkina 24 (2011-2021),,2011/2021,,,Burkina Faso,Français,In Copyright,,,Frédérick Madore
2200,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2200,iwac-collection-0000024,o:ItemSet,Carrefour africain,Articles provenant du journal Carrefour africain (1962-1987),,1962/1987,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,Sidwaya,Institut de Recherche pour le Développement|Bibliothèque du Congrès,Frédérick Madore
2201,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2201,iwac-collection-0000025,o:ItemSet,Sidwaya,Articles provenant du journal Sidwaya (1984-2021),,1984/2021,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,,Institut de Recherche pour le Développement,Frédérick Madore
2202,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2202,iwac-collection-0000026,o:ItemSet,L'Appel,"""Bimestriel Islamique de Formation et d'Information Générales"". Cette publication est l'œuvre de militants et d'anciens militants de l'AEEMB et du CERFI, qui ont voulu aborder l'actualité religieuse, mais aussi politique nationale et internationale d'un point de vue d'intellectuels musulmans francophones dans un cadre qui se veut plus libre que celui offert par les publications associatives",,1994/2000,,,Burkina Faso,Français,In Copyright - Educational Use Permitted,"Cercle d'Études, de Recherches et de Formation Islamiques","Cercle d'Études, de Recherches et de Formation Islamiques",Frédérick Madore
