o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:date,dcterms:rights,dcterms:abstract,dcterms:created,dcterms:extent,dcterms:medium,dcterms:spatial,bibo:citedBy,curation:coordinates
12237,https://iwac.frederickmadore.com/s/westafrica/item/12237,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12241|12242,https://iwac.frederickmadore.com/files/original/fcaefc1168cd2855baa446eed6698e79d6a4783a.jpeg|https://iwac.frederickmadore.com/files/original/cf5039887c328e4f4440abff9a58744b091437e2.jpeg,"Radio Ridwane","Frédérick Madore","Radio Ridwane",2015-04-16,,,,,,Ouagadougou,,"12.3367681, -1.5436187"
12238,https://iwac.frederickmadore.com/s/westafrica/item/12238,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12243|12244|12245|12246,https://iwac.frederickmadore.com/files/original/72f7d65fed44c6eaee8668641579cf867094d41d.jpeg|https://iwac.frederickmadore.com/files/original/846a07be0c66b9f69245f8ec2833bdd872f10726.jpeg|https://iwac.frederickmadore.com/files/original/029f53976d744a58ea1151fca1064f35b70d6a41.jpeg|https://iwac.frederickmadore.com/files/original/8c647011c96b975781342d9950000181dee3d2be.jpeg,"Mosquée en construction dans le quartier de Ouaga 2000","Frédérick Madore","Construction of a mosque",2011-11-17,,,,,,"Ouaga 2000|Ouagadougou",,"12.31516, -1.511406"
12239,https://iwac.frederickmadore.com/s/westafrica/item/12239,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12247|12248|12249|12250,https://iwac.frederickmadore.com/files/original/65b0a4e384fe98de193e410c3594af7fd71657c6.jpeg|https://iwac.frederickmadore.com/files/original/6f8be4fc19137676a0f3dd786440c1476e67e64c.jpeg|https://iwac.frederickmadore.com/files/original/997993e326c140cefb817b81b880f791be2e97eb.jpeg|https://iwac.frederickmadore.com/files/original/07086d086eb615f733773df7b09eb965b7d7521e.jpeg,"Grande Mosquée de Ouagadougou","Frédérick Madore",,2011-10-29,,,,,,"Grande Mosquée de Ouagadougou|Ouagadougou",,"12.3663107, -1.5228766"
12240,https://iwac.frederickmadore.com/s/westafrica/item/12240,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12251|12252,https://iwac.frederickmadore.com/files/original/b867d47cb7a43dad4af8a7a0d8af1be4232536a1.jpg|https://iwac.frederickmadore.com/files/original/4f8ce642cd6dd54d426f325f9ef382bb0a4ca7a6.jpg,"Radio Iqra","Frédérick Madore","Radio IQRA",2015-04-22,,,,,,Ouagadougou,,"12.3673611, -1.5242347"
12253,https://iwac.frederickmadore.com/s/westafrica/item/12253,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12256|12257|12258,https://iwac.frederickmadore.com/files/original/a5f2f5701d24482657d6b8048a40c232fac7c365.jpg|https://iwac.frederickmadore.com/files/original/4fd84e767452601bf72eb5468d736e87798b80e2.jpg|https://iwac.frederickmadore.com/files/original/092ce182c7d67f1012e289ca2ee789f94c88f0bc.jpg,"Mosquée centrale de Porto-Novo","Frédérick Madore","Mosquée centrale de Porto-Novo",2019-04-08,,,,,,Porto-Novo,,
12254,https://iwac.frederickmadore.com/s/westafrica/item/12254,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12259,https://iwac.frederickmadore.com/files/original/d82bdc47b538148d6d839d690e4c4d496f083056.jpg,"Mosquée de Ganvié","Frédérick Madore","Mosquée de Ganvié",2019-05-26,,,,,,Ganvié,,
12255,https://iwac.frederickmadore.com/s/westafrica/item/12255,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12260|12261,https://iwac.frederickmadore.com/files/original/c045982f41b09610f4ab4d7be1316ac1e6af72ab.jpg|https://iwac.frederickmadore.com/files/original/b96e8664ba5bca69961a9dcc759d2d103a3330d2.jpg,"Mosquée centrale de Fidjrossè","Frédérick Madore","Africa Muslims Agency|Mosquée centrale de Fidjrossè",2019-03-21,,,,,,Cotonou,,
12262,https://iwac.frederickmadore.com/s/westafrica/item/12262,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12268|12269,https://iwac.frederickmadore.com/files/original/889eed6237832aeeb3303197ec4cda3ccce7e12a.jpg|https://iwac.frederickmadore.com/files/original/ef84e1ef8ab9c1a1a332c87f6084afd7a4120aba.jpg,"Mosquée Oumar Ibn Khattab","Frédérick Madore","Association Culturelle des Étudiants et Élèves Musulmans du Bénin|Mosquée Oumar Ibn Khattab|University of Abomey-Calavi",2019-03-25,,,,,,Abomey-Calavi,,
12263,https://iwac.frederickmadore.com/s/westafrica/item/12263,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12270|12271|12272,https://iwac.frederickmadore.com/files/original/3f2983f488ac9313f42f4acf6d36d710b3320a6b.jpg|https://iwac.frederickmadore.com/files/original/d23cc8edd60a11c96aae402858fcd7d3bddee74e.jpg|https://iwac.frederickmadore.com/files/original/4f56eb7cf932a1e85321b88167976383b6b0a58d.jpg,"Ancienne mosquée centrale de Porto-Novo","Frédérick Madore","Mosquée centrale de Porto-Novo",2019-04-29,,,,,,Porto-Novo,,
12264,https://iwac.frederickmadore.com/s/westafrica/item/12264,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12273,https://iwac.frederickmadore.com/files/original/d4b99f067721a8febb61ac6a5df7e4734fb4bb96.jpg,"Mosquée centrale as-salam Godomey Togoudo","Frédérick Madore","Mosquée centrale de Godomey",2019-04-22,,,,,,Godomey,,
12265,https://iwac.frederickmadore.com/s/westafrica/item/12265,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12274,https://iwac.frederickmadore.com/files/original/ed4a357f204029f8f79948a751f320389d13050e.jpg,"Mosquée Porto-Novo","Frédérick Madore",,2019-04-29,,,,,,Porto-Novo,,
12266,https://iwac.frederickmadore.com/s/westafrica/item/12266,Photograph,bibo:Image,frederick_madore@outlook.com,true,2216,,12275,https://iwac.frederickmadore.com/files/original/9a98918f7df2f2093ca067be94a0f14145bc25a4.jpg,"Mosquée An-nour","Frédérick Madore","Association des Élèves et Étudiants Musulmans de Côte d'Ivoire",2015-02-10,,,,,,"Abidjan|Côte d'Ivoire",,"5.35138, -3.980761"
12267,https://iwac.frederickmadore.com/s/westafrica/item/12267,Photograph,bibo:Image,frederick_madore@outlook.com,true,2216,,12276|12277,https://iwac.frederickmadore.com/files/original/a4ff91aed5a3817ac8a732f0de13e8177395495f.jpg|https://iwac.frederickmadore.com/files/original/2266c1e8882dded8207ebc09690888ecf29d854b.jpg,"Grande Mosquée de la Riviera Golf","Frédérick Madore",,2015-03-28,,,,,,"Abidjan|Côte d'Ivoire",,"5.338507, -3.978591"
12278,https://iwac.frederickmadore.com/s/westafrica/item/12278,Photograph,bibo:Image,frederick_madore@outlook.com,true,2227,,12279|12280,https://iwac.frederickmadore.com/files/original/042cf16352b5e2a02014129e3a36af0b7618cddd.jpg|https://iwac.frederickmadore.com/files/original/55c3bb4d2d0641f080016b3627fe0b5e997462a9.jpg,"Mosquée de l'Université de Lomé","Frédérick Madore","Association des Élèves et Étudiants Musulmans au Togo",2021-08-17,"In Copyright - Educational Use Permitted",,,,,"Lomé|Université de Lomé|Togo",,"6.17155, 1.211433"
12281,https://iwac.frederickmadore.com/s/westafrica/item/12281,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12304,https://iwac.frederickmadore.com/files/original/d7d00362591bf535384e708fe543fb1c0cf25372.jpg,"Grande Mosquée Sunnite de Ouagadougou","Frédérick Madore",,2015-06-20,,,,,,"Grande Mosquée Sunnite de Ouagadougou|Ouagadougou",,
12282,https://iwac.frederickmadore.com/s/westafrica/item/12282,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12301,https://iwac.frederickmadore.com/files/original/224c6aea1bc155cb784f2d39d3f6562e3513c364.jpeg,"Grande mosquée de Dioulassoba","Frédérick Madore",,2015-06-27,,,,,,"Bobo-Dioulasso|Mosquée de Dioulassoba",,
12283,https://iwac.frederickmadore.com/s/westafrica/item/12283,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12315,https://iwac.frederickmadore.com/files/original/46d08995ca5b1355c6a74f8aa481802d333437bb.jpeg,"Mosquée d'Hamdallaye","Frédérick Madore",,2011-11-17,,,,,,"Mosquée Hamdalaye|Ouagadougou",,
12284,https://iwac.frederickmadore.com/s/westafrica/item/12284,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12318,https://iwac.frederickmadore.com/files/original/52ff28348012d25e1b17fac24e39b75cae6acdeb.jpeg,"Mosquée de l'ONG islamique Makkah Al Moukarramah","Frédérick Madore",,2011-11-10,,,,,,Ouagadougou,,"12.3172987, -1.519166"
12285,https://iwac.frederickmadore.com/s/westafrica/item/12285,Photograph,bibo:Image,frederick_madore@outlook.com,true,2211,,12332|12327|12329|12331|12333|12334,https://iwac.frederickmadore.com/files/original/8284cc0e7f9dd3adb1f4639103a5234459825b8c.jpg|https://iwac.frederickmadore.com/files/original/b17ee0adf98586de1b6dbfd1c602bb4d5d2b1799.jpg|https://iwac.frederickmadore.com/files/original/4b5b6bf9bd0cdfcce72eb2f3fca3e9484e0fd982.jpg|https://iwac.frederickmadore.com/files/original/83c93f2fabd29b7ba1e576e88f6a7a5da31124dd.jpg|https://iwac.frederickmadore.com/files/original/3c5fa241ee97a6281b8f7198dc02661c31bb0132.jpg|https://iwac.frederickmadore.com/files/original/4d59a0910d9ef76a220ec237ba3478552e691e4c.jpg,"Cérémonie de remise de diplômes pour l'apprentissage de la lecture du Coran","Frédérick Madore","Women in Islam|Mahamoudou Bandé",2015-04-26,,,,,,Ouagadougou,,"12.3546047, -1.529277"
12286,https://iwac.frederickmadore.com/s/westafrica/item/12286,Photograph,bibo:Image,frederick_madore@outlook.com,true,2192,,12309|12310,https://iwac.frederickmadore.com/files/original/d4755a9b5b2cbf4c5aa89cf22f72cce44375673e.jpg|https://iwac.frederickmadore.com/files/original/74e1e026c9387e0cfd8b1f197408c3f122762caf.jpg,"Mosquée centrale de Cotonou Jonquet","Frédérick Madore","Mosquée centrale de Cotonou Jonquet",2019-03-26,,,,,,Cotonou,,
