o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:description,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:abstract,dcterms:created,dcterms:isReplacedBy,dcterms:replaces,dcterms:isPartOf,dcterms:hasPart,dcterms:spatial,fabio:hasURL
3217,https://islam.zmo.de/s/westafrica/item/3217,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,7420,https://islam.zmo.de/files/original/d91c31512972cd53301691301b2e96f9b79bb9fd.jpg,"Association des Élèves et Étudiants Musulmans au Burkina",,"https://www.wikidata.org/wiki/Q113551146 Q113551146","Maternité Sakina",AEEMB,"Officially recognized in 1986, the AEEMB aims to promote Islam in the francophone educational community. The association has been informally active under other names since the 1970s: Union Discipline Croyance (Discipline Belief Union), Troupe Muhammad (Muhammad Troop).|Officiellement reconnue en 1986, l'AEEMB vise la promotion de l'islam dans le milieu éducatif francophone. L'association a été active de manière informelle sous d’autres noms à partir des années 1970 : Union Discipline Croyance, Troupe Muhammad et Association Musulmane des Scolaires Voltaïques.",1986-01-21,,,"Fédération des Associations Islamiques du Burkina|Organisation de la Jeunesse Musulmane en Afrique de l'Ouest|Islamic organization",,"Burkina Faso",
3220,https://islam.zmo.de/s/westafrica/item/3220,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,,,"Association des Femmes Islamiques du Burkina",,"https://www.wikidata.org/wiki/Q113551150 Q113551150",,AFIB,"National coalition of Muslim women|Regroupement national de femmes musulmanes",1996-09-21,,,"Islamic organization",,"Burkina Faso",
3221,https://islam.zmo.de/s/westafrica/item/3221,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,7418,https://islam.zmo.de/files/original/84d8cee62accc2beb9f0d223d605bfa9d1fa223f.jpg,"Cercle d'Études, de Recherches et de Formation Islamiques",,"https://www.wikidata.org/wiki/Q113551179 Q113551179","Mosque of the Cercle d'Études, de Recherches et de Formation Islamiques",CERFI,"The CERFI is a kind of extension of the Association des Élèves et Étudiants Musulmans au Burkina (AEEMB) for activists who have entered the labour market|Le CERFI est en quelque sorte le prolongement de l'Association des Élèves et Étudiants Musulmans au Burkina (AEEMB) pour les militants qui ont intégré le marché du travail",1989-01,,"Organisation des Femmes Musulmanes du Burkina","Fédération des Associations Islamiques du Burkina|Organisation de la Jeunesse Musulmane en Afrique de l'Ouest|Islamic organization",,"Burkina Faso",
3222,https://islam.zmo.de/s/westafrica/item/3222,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,7419,https://islam.zmo.de/files/original/d8b11b673ef74cf2e9c9ebd6907e5f3023ce0c4e.jpg,"Fédération des Associations Islamiques du Burkina",,"https://www.wikidata.org/wiki/Q113551209 Q113551209",,FAIB,"Federation of more than 200 Burkinabe Islamic associations and the main representative of the country's Muslim community|Fédération regroupant plus de 200 associations islamiques burkinabè et principal porte-parole de la communauté musulmane du pays",2005-12,,,"Islamic organization",,"Burkina Faso",
3224,https://islam.zmo.de/s/westafrica/item/3224,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,,,"Association Islamique de la Tijâniyya",,"https://www.wikidata.org/wiki/Q113551157 Q113551157",,AIT,"In January 1979, the Hamallists of Ramatoulaye, headed by Sheikh Sidi Mohamed Maïga, split from the Communauté Musulmane de Haute-Volta (CMHV) in order to be recognized by the State as a separate organization|En janvier 1979, les hamallistes de Ramatoulaye, avec à leur tête cheikh Sidi Mohamed Maïga, s'étaient séparés de la Communauté Musulmane de Haute-Volta (CMHV) afin de se faire reconnaitre par l'État en tant qu'association distincte",1979-01,"Communauté Islamique de la Tijâniyya du Burkina Faso",,"Islamic organization",,"Burkina Faso",
3225,https://islam.zmo.de/s/westafrica/item/3225,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,7423,https://islam.zmo.de/files/original/88f17ef8555c322698ef0ac2b1c727a427f3fd57.png,"Africa Muslims Agency|Agence des Musulmans d'Afrique/Direct-Aid",,"https://www.wikidata.org/wiki/Q383896 Q383896",,AMA,"Islamic NGO founded in 1982 and based in Kuwait|ONG islamique fondée en 1982 et basée au Koweït",1982,,,"Islamic organization",,Kuwait,
3226,https://islam.zmo.de/s/westafrica/item/3226,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,7438,https://islam.zmo.de/files/original/a9cf8d62ca53260dec6460fe4d4e59b41cca2f9f.jpg,"World Islamic Call Society|Association Mondiale de l'Appel Islamique",,"https://www.wikidata.org/wiki/Q2484347 Q2484347",,WICS|AMAI,,1972,,,"Islamic organization",,Libya,
3227,https://islam.zmo.de/s/westafrica/item/3227,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,,,"Boko Haram",,"https://www.wikidata.org/wiki/Q212372 Q212372",,,"Insurgent and jihadist movement created in Maiduguri, Nigeria|Mouvement insurrectionnel et djihadiste formé à Maiduguri, Nigeria",2002,,,"Terrorist organization",,Cameroon|Niger|Nigeria,
3228,https://islam.zmo.de/s/westafrica/item/3228,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,,,"Conseil Islamique Burkinabè",,"https://www.wikidata.org/wiki/Q113551182 Q113551182",,CIB,"The conflict within the Communauté Musulmane du Burkina Faso (CMBF), which began in 1982 between Western-educated, reformist Muslims and the traditionalist clan, led to a split with the creation of the CIB in 1991 by individuals from the second group|Le conflit à la Communauté Musulmane du Burkina Faso (CMBF), qui s’était manifesté à partir de 1982 entre des musulmans réformistes issus du système éducatif laïque et le clan traditionaliste avait mené à une scission avec la création du CIB en 1991 par des individus du second groupe",1991,,,"Islamic organization",,"Burkina Faso",
3229,https://islam.zmo.de/s/westafrica/item/3229,Organization,foaf:Organization,frederick.madore@zmo.de,true,5840,,,,"Communauté Musulmane du Burkina Faso",,"https://www.wikidata.org/wiki/Q113549431 Q113549431",,CMBF,"Formerly the Communauté Musulmane de Haute-Volta (CMHV). It was the first national Islamic association of the country.|Anciennement la Communauté Musulmane de Haute-Volta (CMHV). Elle fut la toute première association islamique d'envergure nationale du pays.",1962-12,,"Communauté Musulmane de Haute-Volta","Fédération des Associations Islamiques du Burkina|Islamic organization",,"Burkina Faso",
