o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:description,dcterms:date,dcterms:identifier,dcterms:relation,dcterms:alternative,dcterms:isPartOf,dcterms:spatial,bibo:citedBy,foaf:gender,foaf:firstName,foaf:lastName,foaf:birthday
3218,https://islam.zmo.de/s/westafrica/item/3218,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoul Salam Tiemtoré","Burkinabè imam and former president of the CMHV/CMBF|Imam burkinabè et ancien président de la CMHV/CMBF",1998-02-13,"https://www.wikidata.org/wiki/Q113626119 Q113626119","Mahamoudou Tiemtoré",,"Communauté Musulmane de Haute-Volta|Communauté Musulmane du Burkina Faso|Grande Mosquée de Ouagadougou|Imam","Burkina Faso",,Male,"Abdoul Salam",Tiemtoré,1900
3219,https://islam.zmo.de/s/westafrica/item/3219,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Abdoulaye Fodé Doukouré","Founder of the tijâniyya Hamawiyya of Hamdalaye|Fondateur de la tijâniyya Hamawiyya d'Hamdalaye",1974,"https://www.wikidata.org/wiki/Q113627819 Q113627819","Aboubacar Doukouré",,Imam,"Burkina Faso|Hamdalaye",,Male,"Abdoulaye Fodé",Doukouré,1885
3233,https://islam.zmo.de/s/westafrica/item/3233,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Moussa Nombo","Ancien président du CERFI",,,,,"Cercle d'Études, de Recherches et de Formation Islamiques","Burkina Faso",,Male,Moussa,Nombo,
3382,https://islam.zmo.de/s/westafrica/item/3382,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,11704,https://islam.zmo.de/files/original/63e75a83ac33f54c42126032dd653b7faa487650.jpg,"Frédérick Madore",Historian|Historien,,"https://www.wikidata.org/wiki/Q55725595 Q55725595","Launch of the Islam West Africa Collection","Madore, Frédérick",Researcher,Canada,,Male,Frédérick,Madore,
3510,https://islam.zmo.de/s/westafrica/item/3510,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Louis Audet Gosselin",,,"https://www.wikidata.org/wiki/Q113508124 Q113508124",,"Audet Gosselin, Louis|Louis Audet-Gosselin",Researcher,Canada,,Male,Louis,"Audet Gosselin",
3560,https://islam.zmo.de/s/westafrica/item/3560,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Ablassé Ouédraogo","Burkinabè politician|Homme politique burkinabè",,"https://www.wikidata.org/wiki/Q2821663 Q2821663",,,Politician,"Burkina Faso",,Male,Ablassé,Ouédraogo,1953-06-30
3561,https://islam.zmo.de/s/westafrica/item/3561,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Aboubacar Sana","Burkinabè imam|Imam burkinabè",,"https://www.wikidata.org/wiki/Q19628797 Q19628797","Islamic University of Madinah",,"Communauté Musulmane du Burkina Faso|Grande Mosquée de Ouagadougou|Imam","Burkina Faso",,Male,Aboubacar,Sana,1950
3562,https://islam.zmo.de/s/westafrica/item/3562,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Aboubacar Sangoulé Lamizana","Burkinabè military officer who served as the President of Upper Volta|Officier militaire burkinabè qui a été président de la Haute-Volta",2005-05-26,"https://www.wikidata.org/wiki/Q529272 Q529272",,,"Military personnel|Politician","Burkina Faso",,Male,"Aboubacar Sangoulé",Lamizana,1916-01-31
3563,https://islam.zmo.de/s/westafrica/item/3563,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Aïchata Traoré","President of the LFCMB|Président de la LFCMB",,"https://www.wikidata.org/wiki/Q112065778 Q112065778",,,"Ligue des Femmes de la Communauté Musulmane du Burkina Faso","Burkina Faso",,Female,Aïchata,Traoré,
3564,https://islam.zmo.de/s/westafrica/item/3564,Person,foaf:Person,frederick.madore@zmo.de,true,5841,,,,"Alassane Bala Sakandé","Burkinabè statesman|Homme d'État burkinabè",,"https://www.wikidata.org/wiki/Q78185212 Q78185212",,,Politician,"Burkina Faso",,Male,"Alassane Bala",Sakandé,1969-08-21
