o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:publisher,dcterms:contributor,dcterms:date,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:abstract,dcterms:spatial,dcterms:rightsHolder,bibo:issue,bibo:numPages,fabio:hasURL
10224,https://iwac.frederickmadore.com/s/afrique_ouest/item/10224,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10244|16876|16877|16878|16879|16880|16881|16882|16883|16884|16885|16886|16887|16888|16889|16890|16891|16892|16893|16894|16895,https://iwac.frederickmadore.com/files/original/31134cb902909d957cbb212572499fb896ea5683.pdf|https://iwac.frederickmadore.com/files/original/fe694b1ed2dc8fa5e643721e747db2e714999357.jp2|https://iwac.frederickmadore.com/files/original/9723c6967121abd1fe123947e0296f360d64cc82.jp2|https://iwac.frederickmadore.com/files/original/4d9418df62ad681bffcbe76898431949e5de1ebc.jp2|https://iwac.frederickmadore.com/files/original/6dccca57ddf394655ba711e110b24a91ce07ae90.jp2|https://iwac.frederickmadore.com/files/original/1e443e173fe7d410fb6eaf51f5723ab624642bd4.jp2|https://iwac.frederickmadore.com/files/original/cd2129cdb65b844aff72bf4f64cc42cb443b437f.jp2|https://iwac.frederickmadore.com/files/original/f8b63287b19c740f944faf7f25631adc4e1f7679.jp2|https://iwac.frederickmadore.com/files/original/633891fb1b2682d88d1798a7ad37c35928bd3493.jp2|https://iwac.frederickmadore.com/files/original/1b81e10c9a77d47f9466988e76c84fb15b8d52fb.jp2|https://iwac.frederickmadore.com/files/original/d1b82801f049613a50767eb0335f54bb440403be.jp2|https://iwac.frederickmadore.com/files/original/431ffe4b61e8be5f8ae37a66f3ff6ef447541262.jp2|https://iwac.frederickmadore.com/files/original/5d8e6a91ec56cb67aa54d6a51b7f99a5c0d2b4df.jp2|https://iwac.frederickmadore.com/files/original/8de3e1dce03ff445f9b2fd9b61a36b83aa5629ed.jp2|https://iwac.frederickmadore.com/files/original/66492a38fa7462186004452b28a122f9d7c26234.jp2|https://iwac.frederickmadore.com/files/original/339cf40a52dad634de230ded194b94ed0c559758.jp2|https://iwac.frederickmadore.com/files/original/46fc8c3d8d2388e34b8741c467395f1a97fdea2c.jp2|https://iwac.frederickmadore.com/files/original/c18d534005999b2846d9f8f66c39df8c2943ff1a.jp2|https://iwac.frederickmadore.com/files/original/cefb0ee60f0e73a5d56e9cd9369a218b9e8477b4.jp2|https://iwac.frederickmadore.com/files/original/33230d21480753a787c1bc73d32d9459392b7f0e.jp2|https://iwac.frederickmadore.com/files/original/e8540cd2305961ca34756d26b256b33e64ba68a3.jp2,"Al Mawadda #48-49","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Aboubacar Maïga II|Communauté Islamique de la Tijâniyya du Burkina Faso|Chiisme|Congrès AIT (2009)|Enseignement confessionnel islamique|Femme en islam|Laïcité|Tariq Ramadan|Vie chère|Association Islamique de la Tijâniyya|Aïd al-Adha (Tabaski)|Aïd el-Fitr|Pauvreté|Hadith|Taqlid|Benoît XVI","Al Mawadda","Frédérick Madore",2009-05/2009-08,"https://www.wikidata.org/wiki/Q114030669 Q114030669","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Ouagadougou|Ouahigouya|Ramatoulaye|Israël|Abidjan|Soudan|Pakistan,,48-49,20,
10225,https://iwac.frederickmadore.com/s/afrique_ouest/item/10225,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10245|16896|16897|16898|16899|16900|16901|16902|16903|16904|16905|16906|16907|16908|16909|16910|16911|16912|16913|16914|16915,https://iwac.frederickmadore.com/files/original/78481df5131ce8becb95cb84caba27bd3abce607.pdf|https://iwac.frederickmadore.com/files/original/3cbf8bfafcad6ef9f4b826188c4902a5cd641232.jp2|https://iwac.frederickmadore.com/files/original/1d3501e048c1704cfba2922d6b3ae8fe95601789.jp2|https://iwac.frederickmadore.com/files/original/481a005b843233fd5ea07f9f72a99e73b7c451f0.jp2|https://iwac.frederickmadore.com/files/original/98cfe8781db9c16bd1b2a90b42603d880337cdd0.jp2|https://iwac.frederickmadore.com/files/original/26e31cc73a7d79b82b40d060f591aceb58a5e0b3.jp2|https://iwac.frederickmadore.com/files/original/0d556faf77741a8ed8dede8ee7976302f9c16e93.jp2|https://iwac.frederickmadore.com/files/original/97fbff160b743b6a057d730b3f0c7986e71ba8eb.jp2|https://iwac.frederickmadore.com/files/original/db9d7d0412d1e0d4e8a0af5f558a042e5754fa0a.jp2|https://iwac.frederickmadore.com/files/original/26c5456bc1ea3c2fe86acd88608ad57f5d25f941.jp2|https://iwac.frederickmadore.com/files/original/a5daf8b635c08653d83e675aa8369e07a546420c.jp2|https://iwac.frederickmadore.com/files/original/ee117c115083cc042576cdee16f7112f1ed779e7.jp2|https://iwac.frederickmadore.com/files/original/1985cf8e0dc011a1102d6de5b7f8e8695bae1e3e.jp2|https://iwac.frederickmadore.com/files/original/e57b21c042f275d427b35acdb06832ac5f4a0532.jp2|https://iwac.frederickmadore.com/files/original/b2ef68d0f4a334bbf5b3769201fd63bbf4c70864.jp2|https://iwac.frederickmadore.com/files/original/bbaaac8b56640c3e3e01a15031d38b6357da0f47.jp2|https://iwac.frederickmadore.com/files/original/d211eb8a7f153bce2eb42c4305c53ca80f264f21.jp2|https://iwac.frederickmadore.com/files/original/b7cdf0630ad9cee20e23c9b779670d960f5e6536.jp2|https://iwac.frederickmadore.com/files/original/78d85ed10d3ca8249891408a16986c48fa8290cc.jp2|https://iwac.frederickmadore.com/files/original/71ba5290e1f2990f50a87a36c843cb8d421f81dd.jp2|https://iwac.frederickmadore.com/files/original/6c6ed4f0ca780eb79fdad17714668734fac8ce0e.jp2,"Al Mawadda #43","Association Islamique d'Al Mawadda Burkina Faso","Chiisme|Colonie de vacances de l'AEEMB et du CERFI|Jeunesse Étudiante Catholique (Burkina Faso)|Tariq Ramadan|Tertius Zongo|Vie chère|Association des Élèves et Étudiants Musulmans au Burkina|Cercle d'Études, de Recherches et de Formation Islamiques|Prostitution|Pauvreté|Hadith","Al Mawadda","Frédérick Madore",2008-07/2008-08,"https://www.wikidata.org/wiki/Q114030670 Q114030670","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Banfora|Bobo-Dioulasso|Kaya|Orodara|Ouagadougou|Sapouy|Tougan|Israël|Médine,,43,20,
10226,https://iwac.frederickmadore.com/s/afrique_ouest/item/10226,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10246|16916|16917|16918|16919|16920|16921|16922|16923|16924|16925|16926|16927,https://iwac.frederickmadore.com/files/original/baf5acfb881620ab7f3e3333024b52884658b501.pdf|https://iwac.frederickmadore.com/files/original/65097a98aa38013da1fd505d174f310b5630f39d.jp2|https://iwac.frederickmadore.com/files/original/f52edca2819289f6101ab5ffce870e892ecd6ba1.jp2|https://iwac.frederickmadore.com/files/original/d577a63a8cd97652341650c7b776cb05c24a1140.jp2|https://iwac.frederickmadore.com/files/original/2dc9e2b5c3ef61cbaafc0f21130429f5c7a5ff15.jp2|https://iwac.frederickmadore.com/files/original/3598c28fce664eca01f7184aff85dea48a227d90.jp2|https://iwac.frederickmadore.com/files/original/14eca9458279a9bc77bf7c822f374a820f8d9118.jp2|https://iwac.frederickmadore.com/files/original/12117dbd289c5ff74e8d4ac8919e673f62f946d2.jp2|https://iwac.frederickmadore.com/files/original/2c3baba75a7f9b843df783ecbaa710f83a39653a.jp2|https://iwac.frederickmadore.com/files/original/bf6986e13409e48619c588b583089516b325b808.jp2|https://iwac.frederickmadore.com/files/original/0bcecfbd91505b7518066625eb87b959b6c5c45f.jp2|https://iwac.frederickmadore.com/files/original/9271d8f594535ba3c0a6185e9eb99d825f456909.jp2|https://iwac.frederickmadore.com/files/original/d7384831c94d363407770f76323b386d90fac9df.jp2,"Al Mawadda #20","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Aboubacar Doukouré|Chiisme|Congrès CIB (2004)|Harouna Sana|Ibrahim Barra|Ittihad Islami|Laïcité|Unité|Conseil Islamique Burkinabè|Cercle d'Études, de Recherches et de Formation Islamiques|Fédération des Associations Islamiques du Burkina|Pauvreté|Hadith|Fiqh","Al Mawadda","Frédérick Madore",2004-05-01/2004-06-30,"https://www.wikidata.org/wiki/Q114030671 Q114030671","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Bobo-Dioulasso|Ouagadougou|Ziniaré|Hamdalaye|Nouna|Israël|Palestine|Médine,,20,12,
10227,https://iwac.frederickmadore.com/s/afrique_ouest/item/10227,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10247|16928|16929|16930|16931|16932|16933|16934|16935|16936|16937|16938|16939|16940|16941|16942|16943|16944|16945|16946|16947,https://iwac.frederickmadore.com/files/original/2970397894a47e2631a1fcbc619f1370cfcce95e.pdf|https://iwac.frederickmadore.com/files/original/55cd02b4b12f24c1464c2f712fb53ef55457e050.jp2|https://iwac.frederickmadore.com/files/original/fed2ed281b599a298270e317d3ed6c98d6208ec5.jp2|https://iwac.frederickmadore.com/files/original/3896338fcecc1c2d20b7f72186e9beb02b22375b.jp2|https://iwac.frederickmadore.com/files/original/9fb47b9d242a660ab2c9afe44127f0ca4a745b5e.jp2|https://iwac.frederickmadore.com/files/original/6e7d2ee1c25ad0f46178f4c35d2904ce6c21903a.jp2|https://iwac.frederickmadore.com/files/original/98389a21b01a822431971b03aa5ce23dde3f08da.jp2|https://iwac.frederickmadore.com/files/original/c91d17249d28b0302cd584087e4e9652698c4b59.jp2|https://iwac.frederickmadore.com/files/original/b1079d4e7e0b79f57485468ee5ac3c0466283a46.jp2|https://iwac.frederickmadore.com/files/original/5673bcda1b4dba26260845b4ff41492ab9b69a0a.jp2|https://iwac.frederickmadore.com/files/original/c4a9e116101d977de422576dae071f23230a5e61.jp2|https://iwac.frederickmadore.com/files/original/c291e4161e17968b4f83de8e43b0efb39690c667.jp2|https://iwac.frederickmadore.com/files/original/8ecabccfe01b7da8c7809360d5922ccc6a6f85d1.jp2|https://iwac.frederickmadore.com/files/original/21763991e25d52934a350603901b1f37ae12a332.jp2|https://iwac.frederickmadore.com/files/original/dcd7708153a749b2f258080ac98409c112328281.jp2|https://iwac.frederickmadore.com/files/original/0ab0f0ba2f3dc0f61fb84131c5f09d6e6d392f70.jp2|https://iwac.frederickmadore.com/files/original/370cd7954cc95d8911f399b9dfdb199b937ba38e.jp2|https://iwac.frederickmadore.com/files/original/1f31c6ccaaee7823b3e93641014628c196999115.jp2|https://iwac.frederickmadore.com/files/original/09bfa03081c6f7137c15ff238d6629bbf16c3fd4.jp2|https://iwac.frederickmadore.com/files/original/909bac995a81177867fddfe6445ab54f8913f82a.jp2|https://iwac.frederickmadore.com/files/original/f8fd0f826e538597281e5b3708e25aa9b79bad32.jp2,"Al Mawadda #45-46","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Ahl ul Bayt|Chiisme|Congrès AIMB (2008)|Enseignement confessionnel islamique|Formation des imams et des prêcheurs|Hamadi Baro|Ismaël Tiendrébéogo|Ligue Burkinabè pour la mémorisation du Saint Coran|Hadj|Association des Élèves et Étudiants Musulmans au Burkina|Association Mondiale de l'Appel Islamique|Communauté Musulmane du Burkina Faso|Hadith|Fiqh","Al Mawadda","Frédérick Madore",2008-11/2009-02,"https://www.wikidata.org/wiki/Q114030673 Q114030673","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Banfora|Bobo-Dioulasso|Orodara|Ouagadougou|Pouytenga|Israël|Palestine|Abidjan|Koweït|Médine,,45-46,20,
10228,https://iwac.frederickmadore.com/s/afrique_ouest/item/10228,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10248|16948|16949|16950|16951|16952|16953|16954|16955,https://iwac.frederickmadore.com/files/original/85aa85953209a8d6256c7f0f40e71f412783b168.pdf|https://iwac.frederickmadore.com/files/original/764cf1be08eac9c6e2d54e9e2c7398ab4c79cfd8.jp2|https://iwac.frederickmadore.com/files/original/5c58572d694a2ca4d1b8d9aa8a3a1ac53f75cb48.jp2|https://iwac.frederickmadore.com/files/original/fb1dfa3b66d7a38bec41b1fb048ba86e1f0b15f3.jp2|https://iwac.frederickmadore.com/files/original/7dd4d88d105d038a1f7025ac165d382f6dad9ddb.jp2|https://iwac.frederickmadore.com/files/original/439e6b469dc9900381a13fb9c83998483f466609.jp2|https://iwac.frederickmadore.com/files/original/38ca3f7dc17a6a578c639d9122c3a197ce57808e.jp2|https://iwac.frederickmadore.com/files/original/f9cb5454cd7e98377f46a73dbe3950f9664d21b5.jp2|https://iwac.frederickmadore.com/files/original/c29ce4c7d80d69e765563771ac4a96549d8a54fb.jp2,"Al Mawadda #8","Association Islamique d'Al Mawadda Burkina Faso","Chiisme|Hadj|VIH/Sida|Charia|Association des Élèves et Étudiants Musulmans au Burkina|Fiqh","Al Mawadda","Frédérick Madore",2002-01/2002-02,"https://www.wikidata.org/wiki/Q114030674 Q114030674","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de Formation islamique édité par l'Association Islamique d'al Mawadda du Burkina (A.I.M.B)",Ouagadougou|Médine,,8,8,
10229,https://iwac.frederickmadore.com/s/afrique_ouest/item/10229,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10249|16956|16957|16958|16959|16960|16961|16962|16963,https://iwac.frederickmadore.com/files/original/1e186e51b78943ea42b410a9b93efa32be97c57e.pdf|https://iwac.frederickmadore.com/files/original/0fc6271e1d5ef8fd7d1ecb4ea3ba54899eab6398.jp2|https://iwac.frederickmadore.com/files/original/3049052363c732d87c7b8b6f267fefb589492518.jp2|https://iwac.frederickmadore.com/files/original/a25227b9539bdbefeeb98cbc229be5847dfbb485.jp2|https://iwac.frederickmadore.com/files/original/b970ef231a08661c80b5563683cb5dd76a63d6be.jp2|https://iwac.frederickmadore.com/files/original/e79308e4116b1caf530493b5af6d510ecf63c5a7.jp2|https://iwac.frederickmadore.com/files/original/91c13e19321982b5c09aa0d63a5d79fe7e7803c1.jp2|https://iwac.frederickmadore.com/files/original/bd6e8dc27d68a46565d3f17d67a172fffc2ee89a.jp2|https://iwac.frederickmadore.com/files/original/42df041c0e7cdaf5f2c445d65cb9b6a30310a7f1.jp2,"Al Mawadda #9","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Chiisme|Association des Élèves et Étudiants Musulmans au Burkina|Cercle d'Études, de Recherches et de Formation Islamiques|Aïd al-Adha (Tabaski)|Aïd el-Fitr","Al Mawadda","Frédérick Madore",2002-03/2002-04,"https://www.wikidata.org/wiki/Q114030675 Q114030675","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de Formation islamique édité par l'Association Islamique d'al Mawadda du Burkina (A.I.M.B)",Ouagadougou|Nigéria,,9,8,
10230,https://iwac.frederickmadore.com/s/afrique_ouest/item/10230,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10250|16964|16965|16966|16967|16968|16969|16970|16971|16972|16973|16974|16975|16976|16977|16978|16979,https://iwac.frederickmadore.com/files/original/9908bb6a9ca2c1563d9fda70eca63880ed749960.pdf|https://iwac.frederickmadore.com/files/original/30ccdc405270c3a6c4f9ceb2dd5b1792ddef5682.jp2|https://iwac.frederickmadore.com/files/original/bf93fa4ba2888e579484bce682907bf28ea0dbc5.jp2|https://iwac.frederickmadore.com/files/original/c4c4966f0c362672081e811020af14e235cb0257.jp2|https://iwac.frederickmadore.com/files/original/a12797ce05e9ea17271f1c6d047e9284e92f5b6f.jp2|https://iwac.frederickmadore.com/files/original/e778c9f914d9141912eb638eebf7f8f3d3b40b7a.jp2|https://iwac.frederickmadore.com/files/original/297239c5821289450209c49283231f94df5616c2.jp2|https://iwac.frederickmadore.com/files/original/7ff5aa42965784ed45afacf9c6123b669472db84.jp2|https://iwac.frederickmadore.com/files/original/6c984fd36a47f4668664f02ec2292acfc562114d.jp2|https://iwac.frederickmadore.com/files/original/3a7104a3fb3429a682e3feaee3117257f4440b44.jp2|https://iwac.frederickmadore.com/files/original/1d84f00777aff3b65e9260161181222f32404d46.jp2|https://iwac.frederickmadore.com/files/original/6ad749f6d1ba5b4c35b25541719de599e10fefa7.jp2|https://iwac.frederickmadore.com/files/original/c9d4b2245b3f780592b661ce5f93a71c5747b7fe.jp2|https://iwac.frederickmadore.com/files/original/bdb2ef1ff4bc093e0de26edf9fb07ee12f9526e2.jp2|https://iwac.frederickmadore.com/files/original/e161e7963b9a941777dd9579024217b508ab4a80.jp2|https://iwac.frederickmadore.com/files/original/9c4badf06fba620dd492e884ec15f459f9884417.jp2|https://iwac.frederickmadore.com/files/original/f008fdda2fcca0ead5eb6f5a247b439807a27ccb.jp2,"Al Mawadda #47","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Ahl ul Bayt|Chiisme|Hadith|Sunnah|Taqlid","Al Mawadda","Frédérick Madore",2009-03/2009-04,"https://www.wikidata.org/wiki/Q114030676 Q114030676","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Banfora|Bobo-Dioulasso|Orodara|Ouagadougou|Médine|Pakistan,,47,16,
10231,https://iwac.frederickmadore.com/s/afrique_ouest/item/10231,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10251|16980|16981|16982|16983|16984|16985|16986|16987|16988|16989|16990|16991|16992|16993|16994|16995|16996|16997|16998|16999,https://iwac.frederickmadore.com/files/original/65dfdd9aa59acdeeaa94f1f01fc1dff2d39d6678.pdf|https://iwac.frederickmadore.com/files/original/8a02d478caf4adf0acb65e6dd03de8039c5748c7.jp2|https://iwac.frederickmadore.com/files/original/47db16522873f31fb8aea940a33069e16ca5e3c2.jp2|https://iwac.frederickmadore.com/files/original/00a282a2e9eddff1e3ac0f6724cf6394b749fcb1.jp2|https://iwac.frederickmadore.com/files/original/3005ccc93e72c7218bab47dda083beeb4719e828.jp2|https://iwac.frederickmadore.com/files/original/4fb89d9e52a1d517a44279af331cb47852ed6539.jp2|https://iwac.frederickmadore.com/files/original/63fd713c02ce62766a950b7fdda70462e803fba1.jp2|https://iwac.frederickmadore.com/files/original/8171b9efba9067fcc8f9f7eefed73e9a68e372ca.jp2|https://iwac.frederickmadore.com/files/original/acb61b1c905f095ee7c635dc0b6d6254fe7d6318.jp2|https://iwac.frederickmadore.com/files/original/8be70249457128a2759b13d8a6dd505b6e66a7e6.jp2|https://iwac.frederickmadore.com/files/original/97984b00c0beae0cdf7ef0746f0a37daca5743ac.jp2|https://iwac.frederickmadore.com/files/original/9e8704512ad925202342e0b5d81b799c57803e1d.jp2|https://iwac.frederickmadore.com/files/original/7ea315695bd468659e9fa640bf6b9824aa745c3e.jp2|https://iwac.frederickmadore.com/files/original/405e6c3ac884e24ae71702c6d3f35bac043e78ab.jp2|https://iwac.frederickmadore.com/files/original/2e998d4e7adcbea231b726eb40ec0477ef4579bd.jp2|https://iwac.frederickmadore.com/files/original/88933149fd1e1b168c261d141b73e84a255142b4.jp2|https://iwac.frederickmadore.com/files/original/228e0fbcecac18c76997bc696482fddc196eecd8.jp2|https://iwac.frederickmadore.com/files/original/be7ca9b2a66dcd80a603e77b9411dee6b7fbf6a3.jp2|https://iwac.frederickmadore.com/files/original/bb007d6210c340407f0462bdb35bb60802757619.jp2|https://iwac.frederickmadore.com/files/original/f3c02f5c0e454d290dacda945a7dc2f237fff0cf.jp2|https://iwac.frederickmadore.com/files/original/f1abe1369fef36001132056cdc5be7d37f5ee69a.jp2,"Al Mawadda #44","Association Islamique d'Al Mawadda Burkina Faso","Association pour l'Établissement de l'Unité Islamique|Aboubacar Maïga II|Adama Sakandé|Ahl ul Bayt|Chiisme|Mahamoudou Bandé|Mendicité et talibés|Unité|Vie chère|Association des Élèves et Étudiants Musulmans au Burkina|Fédération des Associations Islamiques du Burkina|Communauté Musulmane du Burkina Faso|Aïd el-Fitr|Civilisation occidentale|Hadith","Al Mawadda","Frédérick Madore",2008-09/2008-10,"https://www.wikidata.org/wiki/Q114030677 Q114030677","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de formation islamique",Banfora|Bobo-Dioulasso|Kongoussi|Orodara|Ouagadougou|Ouahigouya|Nouna|Tougan|Israël|Abidjan|Ghana|Nigéria|Médine,,44,20,
10232,https://iwac.frederickmadore.com/s/afrique_ouest/item/10232,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10252|17000|17001|17002|17003|17004|17005|17006|17007,https://iwac.frederickmadore.com/files/original/c3d6d63a495b259890b57e43aca3deccf72a3246.pdf|https://iwac.frederickmadore.com/files/original/5be501eb483f6375e18832bb564ab3a5b0476025.jp2|https://iwac.frederickmadore.com/files/original/971821072aa639fb180f95530fb5075a8a82ed88.jp2|https://iwac.frederickmadore.com/files/original/9e4223dbdc9a90f26f24ce0be35f3e37310afe00.jp2|https://iwac.frederickmadore.com/files/original/610d76fc58c51fd1d6594b3e820170e2b488bef1.jp2|https://iwac.frederickmadore.com/files/original/882001cf74b9ef4476663ae7a4b34eada5b828a4.jp2|https://iwac.frederickmadore.com/files/original/0c431634adb0fa84303af31e564182bcc989fa5d.jp2|https://iwac.frederickmadore.com/files/original/ee63f73a21693ba8d8dbe9271785a37a2e05feae.jp2|https://iwac.frederickmadore.com/files/original/81f3d1e260c9f49407d2448b9d4f5b1199718f31.jp2,"Al Mawadda #5","Association Islamique d'Al Mawadda Burkina Faso",Chiisme,"Al Mawadda","Frédérick Madore",2001-07/2001-08,"https://www.wikidata.org/wiki/Q114030678 Q114030678","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de Formation islamique édité par l'Association Islamique d'al Mawadda du Burkina (A.I.M.B)",Médine|Pakistan,,5,8,
10233,https://iwac.frederickmadore.com/s/afrique_ouest/item/10233,"Newspaper article",bibo:Issue,frederick_madore@outlook.com,true,2197,,10253|17008|17009|17010|17011|17012|17013|17014|17015,https://iwac.frederickmadore.com/files/original/433a566008c4329c50896360545a95e45ed11760.pdf|https://iwac.frederickmadore.com/files/original/5ed68ce0ecca9d3f38b6dc62cb3be3a345fa614b.jp2|https://iwac.frederickmadore.com/files/original/cc4f935b149ef300dcccf448d798c3c68eb31b7f.jp2|https://iwac.frederickmadore.com/files/original/ebbc2c0b5b9e5f6adf753472945c3a2c52defa68.jp2|https://iwac.frederickmadore.com/files/original/9bc2e12579cf79137329338cdfc089748c797dad.jp2|https://iwac.frederickmadore.com/files/original/e0007b80aba7fffa7c5c0bd1b8ee2df9a15768b0.jp2|https://iwac.frederickmadore.com/files/original/47191691be27cc6b792c1bfd11b9ec58d7cfe009.jp2|https://iwac.frederickmadore.com/files/original/e85ecad1ed4ab3e9e85c28bd4c9e9b33b8546f87.jp2|https://iwac.frederickmadore.com/files/original/35cb5b5429c8d1566a9c99cee4cd6524ae2412fa.jp2,"Al Mawadda #4","Association Islamique d'Al Mawadda Burkina Faso","Aboubacar Fofana|Aboubacar Sangoulé Lamizana|Conférence des Cadres et Intellectuels Musulmans du Burkina|Chiisme|Gaoussou Diawara|Unité|Fiqh","Al Mawadda","Frédérick Madore",2001-05/2001-06,"https://www.wikidata.org/wiki/Q114030681 Q114030681","Louis Audet Gosselin",Français,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable","Bimestriel d'information et de Formation islamique édité par l'Association Islamique d'al Mawadda du Burkina (A.I.M.B)",Banfora|Ouagadougou|Togo|Médine,,4,8,
