o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:is_open,dcterms:title,dcterms:creator,dcterms:description,dcterms:contributor,dcterms:date,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:isReplacedBy,dcterms:replaces,dcterms:spatial,dcterms:rightsHolder
1,https://iwac.frederickmadore.com/s/westafrica/item-set/1,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Sujets|Topics,,"Décrit une ressource dont l'étiquette représente un sujet|Describes a resource whose label represents a topic",,,,,,,,,,
2,https://iwac.frederickmadore.com/s/westafrica/item-set/2,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Évènements|Events,,"Principaux évènements de la base de données|Main events of the database",,,,,,,,,,
266,https://iwac.frederickmadore.com/s/westafrica/item-set/266,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Individus|People,,"Principaux individus de la base de données|Main persons of the database",,,,,,,,,,
267,https://iwac.frederickmadore.com/s/westafrica/item-set/267,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,"Notices d'autorité|Authority files",,,,,,,,,,,,
268,https://iwac.frederickmadore.com/s/westafrica/item-set/268,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Emplacements|Locations,,"Principaux emplacements de la base de données|Main locations of the database",,,,,,,,,,
854,https://iwac.frederickmadore.com/s/westafrica/item-set/854,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Associations|Organizations,,"Principales associations ou groupes de la base de données|Main organizations or groups of the database",,,,,,,,,,
2183,https://iwac.frederickmadore.com/s/westafrica/item-set/2183,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,"Enregistrements audio|Audio recordings",,"Enregistrements audio divers|Various audio recordings","Frédérick Madore",,,,,"In Copyright - Educational Use Permitted",,,,
2184,https://iwac.frederickmadore.com/s/westafrica/item-set/2184,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,"Collection de sermons islamiques sur vidéo|Collection of Islamic sermons on video",,"Abdoulaye Sounaye a assemblé une collection de vidéos de sermons islamiques en haoussa du Nigéria dans le cadre de ses recherches au cours des vingt dernières années|Abdoulaye Sounaye has amassed a collection of videos of Islamic sermons in Hausa from Nigeria as part of his research over the past twenty years","Aleksei Akseshin|Vincent Favier|Frédérick Madore",1999/2014,,"Abdoulaye Sounaye",Anglais|Arabe|Haoussa,"In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable",,,Nigéria,
2185,https://iwac.frederickmadore.com/s/westafrica/item-set/2185,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Banouto,,"Métadonnées d'articles provenant du journal Banouto (2017-2023)|Metadata of articles from the newspaper Banouto (2017-2023)","Frédérick Madore",2017/2023,"https://www.wikidata.org/wiki/Q119889397 Q119889397",,Français,"In Copyright",,,Bénin,
2186,https://iwac.frederickmadore.com/s/westafrica/item-set/2186,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,"Boulevard des Infos",,"Métadonées d'articles provenant du journal Boulevard des Infos (2018-2023)|Metadata of articles from the newspaper Boulevard des Infos (2018-2023)","Frédérick Madore",2018/2023,"https://www.wikidata.org/wiki/Q121338136 Q121338136",,Français,"In Copyright",,,Bénin,
2187,https://iwac.frederickmadore.com/s/westafrica/item-set/2187,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Ehuzu,"Office national d'édition de presse et d'imprimerie","Articles provenant du journal Ehuzu (1975-1990)|Newspaper articles from Ehuzu (1975-1990)","Frédérick Madore|Vincent Favier",1975/1990,"https://www.wikidata.org/wiki/Q115453877 Q115453877",,Français|Dendi,"In Copyright - Educational Use Permitted","La Nation",Daho-Express,Bénin,"La Nation"
2188,https://iwac.frederickmadore.com/s/westafrica/item-set/2188,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,Daho-Express,,"Articles provenant du journal Daho-Express (1969-1975)|Newspaper articles from Daho-Express (1969-1975)","Frédérick Madore|Vincent Favier",1969/1975,"https://www.wikidata.org/wiki/Q115453822 Q115453822","Bibliothèque du Congrès",Français,"In Copyright - Educational Use Permitted",Ehuzu,,Bénin,"La Nation"
2189,https://iwac.frederickmadore.com/s/westafrica/item-set/2189,"Item set",dctype:Collection,frederick_madore@outlook.com,true,false,"La Nation",,"Articles provenant du journal La Nation (1990-2022)|Newspaper articles from La Nation (1990-2022)","Frédérick Madore|Vincent Favier",1990/2022,"https://www.wikidata.org/wiki/Q18344583 Q18344583",,Français,"In Copyright - Educational Use Permitted",,Ehuzu,Bénin,"La Nation"
