Date;Titre;Contenu_lemmatisé
1970-01-30;300 fidèles à la Mecque;groupe pèlerin quittera cotonou soir 18 heure . 30 lieu saint islam . nombre 120 environ , pèlerin voyager bord avion spécial compagnie Air Afrique , constituer deuxième contingent futur hadj , premier fort cinquantaine membre , être embarquer , avoir quelque jour lagos . être suivre semaine troisième groupe quelque 150 personne . ainsi donc , plus 300 fidèles-chiffre jamais atteindre — représenteront , année-ci pays berceau islam . comme chaque année , gouvernement avoir désigner haut fonctionnaire , M. Alexandre taofick paraïso , magistrat , défendre intérêt pèlerin auprès autorité saoudien . médecin convoyeur , également désigner gouvernement , être Dr saroukou raouf , chef CM parakou , être aider tâche M. mouazinou ladami , infirmier service hôpital cotonou .
1970-01-31;Un 2e contingent de 120 pèlerins à La Mecque;aéroport cotonou avoir retrouver momentanément hier après-midi animation grand jour vacance juillet août . dès 15 heure , 2e contingent 120 pèlerin enregistrer bagage destination Mecque , agitation fébrile . cour aéroport , impressionnant foule parent ami endimanchée impeccablement contenu service ordre gendarmerie attendait pouvoir saluer futur hadj formuler vœu bon retour terre natal . parmi pèlerin imams supérieur cotonou : gazali tahirou — abomey — nondichao idrissou — ainsi directeur adjoint sûreté , M. ouabi latifou . lieu Saints islam , pélerin accomplirent plusieurs rite . Médine notamment ville saint islam plus important , aller dire , mémoire mahomed , important prière grand mosquée abriter tombeau ainsi celui deux disciple . ensuite , rendront kaba embrasser besoin sacrer pierre noir ascensionneront mont Arafat quelque kilomètre Mecque . pélerin être attendre cotonou vers 27 février fêteront tabaski lieu Saints . celui-ci pouvoir avoir lieu 17 février prochain .
1970-02-06;Les derniers pélerins s'envolent ce matin pour La Mecque;plus 150 fidèle musulman quitter cotonou matin lieu saint islam . pèlerin voyager bord avion compagnie belge SABENA , venir circonstance dahomey , constituer troisième dernier contingent futur hadj . être également groupe plus important quitter année-ci dahomey Mecque , bien tarif voyage appliquer compagnie belge être relativement plus important celui Air Afrique .
1970-02-17;La Tabaski à Porto-Novo;imam porto-novo procéder sacrifice mouton .
1970-02-24;Les pélerins rentrent de la Mecque;parti avoir exactement mois lagos Mecque , premier contingent pèlerin musulman avoir regagné dahomey nuit dimanche . nombre cinquantaine , pèlerin avoir voyagé bord avion égyptien être arriver dimanche matin , capitale nigeriane où appareil escadrille national être aller chercher cotonou . bien avoir regagné clan nuit porto-novo dont être plupart originaire , être matinée hier nouveau hadj être « officiellement » accueillir communauté musulman ville liesse . selon premier arrivant , tout être bien passer Arabie séoudite délégation dahoméenne , malgré condition particulièrement difficile avoir marquer pèlerinage année . jusque départ djeddah , avoir préciser , délégation dahoméenne , fort plus 330 membre , avoir avoir déplorer aucun perte vie humain . Signalons rester pèlerin regagner dahomey plus tard 5 mars prochain .
1970-07-22;Les musulmans de P.-Novo réconciliés;"président Hubert maga avoir recevoir audience hier fort délégation ADDIS ( association Dahoméenne Défense intérêt islam ) venir faire visite courtoisie apporter soutien indéfectible conseil présidentiel , symbole unité national retrouver . après avoir brièvement définir objectif association , vice-président comité exécutif , El hadj gafari badirou , avoir confirmer chef état règlement définitif dissension régner sein communauté musulman porto-novo . avoir ensuite soumettre président Hubert maga quelque doléance intéressant communauté dont principal concerner pèlerinage Mecque séjour pèlerin dahoméen lieu saint islam . propos , avoir poursuivre vice-président comité exécutif , convenir souligner nombre pèlerin dahoméen aller croissant année année , cas maladie enregistrer être aussi rapport augmentation , être souhaitable : 1 ° ) relever effectif personnel sanitaire accompagnement ; 2 ° ) mettre disposition pèlerin ambulance ; 3 ° ) consulter comité action quant choix délégué devant accompagner pèlerin . réponse , chef état avoir remercier délégation soutien membre conseil présidentiel . « féliciter union retrouver sein communauté musulman porto-novo tant unité existera soutenir » , avoir poursuivre chef état avoir ensuite exposer délégation préoccupation conseil présidentiel gouvernement savoir : consolider union national retrouver succès tâche redressement nation être assignée . terminer , président Hubert maga avoir promettre étudier doléance présenter comité exécutif ADDIS service compétent ."
1970-07-31;Cultes religieux pour le bonheur du Dahomey;membre conseil présidentiel , membre gouvernement , corps diplomatique plusieurs personnalité civil militaire avoir assister hier matin messe solennelle célébrer cathédrale Notre-Dame , culte protestant prière grand mosquée cotonou . être Mgr bernadin gantin , archevêque cotonou avoir dire messe chantée chœur « hanyé » . homélie , Mgr gantin , après avoir dire dahomey réunir ici grand complet , fils ami , honorer rendre abord Dieu hommage public , devoir notamment déclarer : « tout souhaiter , tout avoir déjà obtenir bien , tout avoir devoir faire mieux-être plus-être pendant 10 année écoulée dont vrai juste bilan revenir connaissance tout chacun , tout cela relever essentiellement don Dieu . Don Dieu accueillir , don Dieu négligé ! Mgr gantin avoir rappeler notamment message Pape Paul VI ( lors voyage avoir an Kampala ) souhaiter tout peuple Afrique « liberté prospérité ... » culte protestant avoir être célébrer pasteur Harry Henri avoir dire « devoir prendre exemple peuple Israël être dispersé — « devoir prendre conscience réalité être , être prêt réforme » avant souhaiter paix pays tout entier . mosquée cotonou , imam El hadj gazaliou taïrou ministre avoir souhaiter longévité trinité présidentiel .
1970-10-09;Prière à la grande Mosquée de Porto-Novo pour Gamal Abdel NASSER;communautés musulman arabo-berbère dahomey avoir organiser hier grand mosquée porto-novo , grand prière mémoire président gamal Abdel Nasser , décéder subitement 28 septembre dernier . M. sourou migan apithy , membre conseil présidentiel , colonel Alphonse alley , secrétaire général Défense national , M. mama chabi , ministre développement rural coopération , haut-commissaire Plan , M. souradjou Ibrahim M. Célestin dagba , conseiller technique ministère Education national , représenter gouvernement . dès 8 heure , grand mosquée , situer près marché ville être comble , « tout porto-novo » être présent . hadj hadja cotonou porto-novo , grand boubou blanc voile entourer deux cordon noir ( signer deuil ) être là . , comme vouloir religion musulman , tout déchaussaient avant installer tandis chant coranique résonnait haut-parleur , louant mémoire disparaître . peu après arrivée prés-dent apithy suite commencer cérémonie religieux après premier prière El hadj moudjadibou damala avoir lire arabe discours rappeler assistance vie exemplaire président Nasser , avoir souligner , être sacrifié peuple , conformant ainsi loi Dieu . avoir terminer homélie prière : « bien-aimé gamal , dors paix , doux paix eternel . Seigneur accepter sous garde . elu jour rétribution » . M. karim da Silva , grand imprimerie Dahoméenne , succéder rendre hommage raïs , avoir personnellement rencontrer Caire . quant Dr koreshi , ambassadeur Pakistan dahomey avoir exprimer nom pays vif condoléance peuple arabe . « mourir président Nasser constituer vide état afro-asiatiques monde arabe » avoir déclarer . cérémonie avoir être présider grand imam El hadj abdou raïmi , entourer ministre El hadj moudjadibou damala , salami tiamiyou Titus .
1970-12-01;Les musulmans du Dahomey ont fêté hier le Ramadan dans la ferveur;lundi 30 novembre 1970 , fête ramadan fin jeûne chez fidèle Mahomet . jour allégresse où millier croyant , travers monde , dire prière suivant rite séculaire . dahomey , comme tout an , fête avoir revêtu ensemble territoire éclat traditionnel . cotonou , président ahomadégbé avoir représenter président maga absent prière . dès 8 heure , foule dense fidèle curieux être massée place public dire idi PK 4 attendait ordre impeccable arrivée imam supérieur cotonou , El hadj gazaliou tahirou . 10 heure prière avoir commencer . avoir durer vingtaine minute . ensuite imam avoir prié paix , stabilité politique formuler vœu bon santé compréhension mutuelle intention président maga , ahomadégbé apithy . ministre Fonction public Travail , M. Ambroise agboton ainsi préfet , délégué gouvernement directeur sûreté accompagnaient président ahomadégbé . porto-novo , cérémonial . heure presque , imam supérieur porto-novo dire prière analogue idi présence président sourou migan apithy accompagner ministre présent capitale autorité administratif . journée être achever réjouissance populaire .
1971-02-08;Les musulmans du Dahomey ont célébré la Tabaski dans la ferveur et dans la joie;grand prière musulman avoir être dire samedi matin place aménager effet , PK 3 , derrière usine icoir , imam cotonou , El hadj gasaliou . cérémonie être dérouler présence M. Justin ahomadégbé-tométin , membre conseil présidentiel assurer intérim chef état . président ahomadégbé être entourer occasion ministre Information , Finances santé , ainsi préfet Atlantique . après prière , imam , accompagner plusieurs personnalité communauté musulman cotonou , être venir remercier président ahomadégbé membre gouvernement avoir honorer présence cérémonie . imam avoir prié paix dahomey invoqué bénédiction Dieu gouvernement . ensuite , être aller égorger mouton , donner ainsi autre fidèle signal immolation mouton signer sacrifice Allah . porto-novo , prière quel prendre part Dr badarou M. souradjou , être dérouler notamment présence président sourou migan apithy , membre conseil présidentiel préfet ouémé . comme cotonou , imam porto-novo rendre hommage conseil présidentiel gouvernement avant immoler mouton sacrifice tabaski . façon général , être tout dahomey avoir célébrer fête musulman .
